Sector subsector y rama,Total 2022,Total 2023,IDE 2022 - 2023
5313 Servicios relacionados con los servicios inmobiliarios,64.5,109.7,64.5109.7
532 Servicios de alquiler de bienes muebles,284.7,158.3,284.7158.3
5321 Alquiler de automóviles camiones y otros transportes terrestres,242.9,161.0,242.9161.0
5324 Alquiler de maquinaria y equipo agropecuario pesquero industrial  comercial y de servicios,41.8,-4.5,41.8-4.5
533 Servicios de alquiler de marcas registradas patentes y franquicias,3.1,7.9,3.17.9
5331 Servicios de alquiler de marcas registradas patentes y franquicias,3.1,7.9,3.17.9
54 Servicios profesionales científicos y técnicos,36.0,528.4,36.0528.4
541 Servicios profesionales científicos y técnicos,36.0,528.4,36.0528.4
5412 Servicios de contabilidad auditoría y servicios relacionados,38.1,65.7,38.165.7
5413 Servicios de arquitectura ingeniería y actividades relacionadas,-62.8,43.1,-62.843.1
5415 Servicios de diseño de sistemas de cómputo y servicios relacionados,-2.4,370.7,-2.4370.7
5416 Servicios de consultoría administrativa científica y técnica,-49.4,71.2,-49.471.2
5417 Servicios de investigación científica y desarrollo,-16.3,-92.7,-16.3-92.7
5418 Servicios de publicidad y actividades relacionadas,47.3,1.3,47.31.3
5419 Otros servicios profesionales científicos y técnicos,82.5,64.2,82.564.2
55 Dirección y administración de grupos empresariales o corporativos,20.5,-13.7,20.5-13.7
551 Dirección y administración de grupos empresariales o corporativos,20.5,-13.7,20.5-13.7
5511 Dirección y administración de grupos empresariales o corporativos,20.5,-13.7,20.5-13.7
56 Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación,223.6,-1.9,223.6-1.9
561 Servicios de apoyo a los negocios,223.6,-1.9,223.6-1.9
5611 Servicios de administración de negocios,78.3,19.3,78.319.3
5613 Servicios de empleo,11.4,-20.8,11.4-20.8
5614 Servicios de apoyo secretarial fotocopiado cobranza investigación crediticia y similares,-1.3,9.3,-1.39.3
5615 Agencias de viajes y servicios de reservaciones,10.0,3.4,10.03.4
5619 Otros servicios de apoyo a los negocios,123.2,66.6,123.266.6
61 Servicios educativos,29.5,16.0,29.516.0
611 Servicios educativos,29.5,16.0,29.516.0
62 Servicios de salud y de asistencia social,-13.1,0.6,-13.10.6
621 Servicios médicos de consulta externa y servicios relacionados,5.1,0.6,5.10.6
71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,51.8,19.0,51.819.0
713 Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,50.2,19.0,50.219.0
7131 Parques con instalaciones recreativas y casas de juegos electrónicos,15.3,9.1,15.39.1
7139 Otros servicios recreativos,34.8,9.9,34.89.9
72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,"2,323.5","2,646.5","2,323.52,646.5"
721 Servicios de alojamiento temporal,"2,323.5","2,642.0","2,323.52,642.0"
7211 Hoteles moteles y similares,875.7,657.1,875.7657.1
7213 Pensiones y casas de huéspedes y departamentos y casas amueblados con servicios de hotelería,"1,447.8","1,984.9","1,447.81,984.9"
81 Otros servicios excepto actividades gubernamentales,-5.4,25.5,-5.425.5
811 Servicios de reparación y mantenimiento,-10.6,22.7,-10.622.7
8112 Reparación y mantenimiento de equipo electrónico y de equipo de precisión,-1.9,2.5,-1.92.5
8113 Reparación y mantenimiento de maquinaria y equipo agropecuario industrial  comercial y de servicios,-19.2,-1.0,-19.2-1.0
812 Servicios personales,5.2,2.9,5.22.9
8129 Servicios de revelado e impresión de fotografías y otros servicios personales,5.0,2.8,5.02.8
Total,"36,298.9","36,282.1","36,298.936,282.1"
