Sector subsector y rama,Total 2022,Total 2023,IDE 2022-2023,Concepto,PIB 2022-2023,IDE 23 al 24
4354 Comercio al por mayor de mobiliario y equipo de cómputo y de oficina y de otra maquinaria y equipo de uso general,-133.9,89.4,-44.50 ,493 - Servicios de almacenamiento,76180.391,
436 Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles camionetas y camiones,-32.7,-25,-57.70 ,51 - Información en medios masivos,864561.439," 5,168.90 "
4361 Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles camionetas y camiones,-32.7,-25,-57.70 ,"511 - Edición de periódicos, revistas, libros, software y otros materiales, y edición de estas publicaciones integrada con la impresión",36482.434,
437 Intermediación de comercio al por mayor,79.5,8.5, 88.00 ,"512 - Industria fílmica y del video, e industria del sonido",60399.444, 10.30 
4373 Intermediación de comercio al por mayor,79.5,8.5, 88.00 ,515 - Radio y televisión,137407.567,
46 Comercio al por menor,"1,036.50",439.1," 1,475.60 ",517 - Telecomunicaciones,604623.076,-873.30 
462 Comercio al por menor en tiendas de autoservicio y departamentales,530,239.4, 769.40 ,"518 - Procesamiento electrónico de información, hospedaje y otros servicios relacionados",22779.715, 13.30 
4621 Comercio al por menor en tiendas de autoservicio,451.5,240.5, 692.00 ,519 - Otros servicios de información,2869.202, 136.10 
463 Comercio al por menor de productos textiles  bisutería  accesorios de vestir y calzado,5.3,35.6, 40.90 ,52 - Servicios financieros y de seguros,2569330.085," 12,420.60 "
4632 Comercio al por menor de ropa bisutería y accesorios de vestir,5.3,35.6, 40.90 ,521 - Banca central,109603.015,
465 Comercio al por menor de artículos de papelería  para el esparcimiento y otros artículos de uso personal,28.5,29.4, 57.90 ,522 - Instituciones de intermediación crediticia y financiera no bursátil,2005414.666," 9,954.90 "
4652 Comercio al por menor de artículos para el esparcimiento,4.7,24.9, 29.60 ,"523 - Actividades bursátiles, cambiarias y de inversión financiera",62629.602, 556.70 
4659 Comercio al por menor de mascotas y sus accesorios  regalos  artículos religiosos  desechables  artesanías y otros artículos de uso personal,23.8,2.8, 26.60 ,"524 - Compañías de seguros, fianzas, y administración de fondos para el retiro",391682.802, 500.70 
466 Comercio al por menor de enseres domésticos computadoras  artículos para la decoración de interiores y artículos usados,11.4,-13.9,-2.50 ,53 - Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,5286215.2, 811.90 
4661 Comercio al por menor de muebles para el hogar y otros enseres domésticos,7.3,2.1, 9.40 ,531 - Servicios inmobiliarios,5126092.063, 357.90 
4662 Comercio al por menor de mobiliario  equipo y accesorios de cómputo teléfonos y otros aparatos de comunicación,4,-15.9,-11.90 ,532 - Servicios de alquiler de bienes muebles,60361.217, 443.00 
4681 Comercio al por menor de automóviles y camionetas,77.8,-12.8, 65.00 ,"533 - Servicios de alquiler de marcas registradas, patentes y franquicias",99761.92, 11.00 
4682 Comercio al por menor de partes y refacciones para automóviles  camionetas y camiones,16.1,-2, 14.10 ,"54 - Servicios profesionales, científicos y técnicos",1147232.267, 564.40 
4684 Comercio al por menor de combustibles aceites y grasas lubricantes,-41,14.9,-26.10 ,55 - Corporativos,360469.267, 6.80 
469 Intermediación de comercio al por menor  y comercio al por menor a través de catálogos impresos  televisión y similares,411.3,146.5, 557.80 ,"56 - Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",539205.694, 221.70 
4691 Intermediación de comercio al por menor  y comercio al por menor a través de catálogos impresos televisión y similares,411.3,146.5, 557.80 ,561 - Servicios de apoyo a los negocios,498723.647, 221.70 
48-49 Transportes correos y almacenamiento,"3,684.80","2,283.50"," 5,968.30 ",562 - Manejo de residuos y servicios de remediación,40482.047,
483 Transporte por agua,-171,-14.5,-185.50 ,61 - Servicios educativos,2120775.215, 221.70 
4831 Transporte marítimo,-171,-14.5,-185.50 ,62 - Servicios de salud y de asistencia social,1520145.834,-12.50 
486 Transporte por ductos,879,"1,924.80"," 2,803.80 ",621 - Servicios médicos de consulta externa y servicios relacionados,664177.582, 5.70 
4862 Transporte de gas natural por ductos,879,"1,924.80"," 2,803.80 ",622 - Hospitales,813388.618,
488 Servicios relacionados con el transporte,164.2,328.1, 492.30 ,623 - Residencias de asistencia social y para el cuidado de la salud,5309.228,
4881 Servicios relacionados con el transporte aéreo,-5.7,101.9, 96.20 ,624 - Otros servicios de asistencia social,37270.406,
4883 Servicios relacionados con el transporte por agua,147.8,201.7, 349.50 ,"71 - Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",285274.677, 70.80 
