Sector subsector y rama,1.16,2.16,3.16,4.16,Total 2022,1.17,2.17,3.17,4.17,Total 2023,1.18,2.18,Total 2024,Total general
3141 Confección de alfombras  blancos y similares,4.2,11.0,2.3,2.7,20.3,15.5,15.4,-21.5,9.8,19.2,18.1,13.1,31.2,316.9
3149 Fabricación de otros productos textiles excepto prendas de vestir,3.0,2.2,5.4,0.1,10.7,0.5,0.7,-4.5,1.4,-1.9,2.1,4.0,6.1,70.0
315 Fabricación de prendas de vestir,17.7,5.1,13.4,26.4,62.5,6.3,-0.3,12.7,-23.2,-4.5,35.5,-11.9,23.6,"1,459.4"
3151 Fabricación de prendas de vestir de tejido de punto,0.8,1.9,2.5,2.3,7.5,-0.2,0.5,2.7,1.6,4.6,2.2,0.4,2.6,260.0
3152 Confección de prendas de vestir,16.3,5.4,10.8,7.0,39.7,11.6,-0.8,10.1,-24.8,-4.0,33.0,-11.5,21.5,748.1
3159 Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,0.5,C,0.0,17.1,15.4,-5.1,C,0.0,C,-5.1,C,-0.8,-0.6,451.3
316 Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos,4.2,2.3,-3.0,-0.9,2.7,2.1,0.7,0.5,1.4,4.7,5.3,1.2,6.5,492.5
3161 Curtido y acabado de cuero y piel,C,0.0,C,C,-6.4,C,0.0,0.0,0.0,C,C,0.0,C,152.6
3162 Fabricación de calzado,0.4,0.5,0.7,1.0,2.7,0.6,0.5,0.3,1.2,2.5,0.4,0.5,0.9,75.3
3169 Fabricación de otros productos de cuero piel y materiales sucedáneos,3.8,1.8,0.5,0.3,6.4,0.2,0.2,0.3,0.2,0.9,0.2,0.7,0.9,264.6
321 Industria de la madera,0.3,0.4,2.4,-2.3,0.7,46.2,-17.7,0.2,1.0,29.7,8.6,36.5,45.1,361.8
3212 Fabricación de laminados y aglutinados de madera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
3219 Fabricación de otros productos de madera,0.3,0.4,2.4,-2.3,0.7,46.2,-17.7,0.2,1.0,29.7,8.6,36.5,45.1,361.7
322 Industria del papel,10.9,512.6,38.5,611.3,"1,173.3",118.0,32.5,26.6,73.0,250.2,298.1,-14.0,284.1,"4,772.5"
3221 Fabricación de pulpa  papel y cartón,38.0,457.1,14.5,651.2,"1,160.9",82.7,0.9,17.2,9.1,109.9,241.9,-1.5,240.4,"3,657.6"
3222 Fabricación de productos de cartón y papel,-27.2,55.4,24.0,-39.8,12.4,35.3,31.6,9.4,63.9,140.3,56.2,-12.5,43.7,"1,114.9"
323 Impresión e industrias conexas,1.7,-3.6,0.7,-2.0,-3.2,14.0,12.7,-7.6,-27.1,-8.0,14.6,11.2,25.8,264.0
3231 Impresión e industrias conexas,1.7,-3.6,0.7,-2.0,-3.2,14.0,12.7,-7.6,-27.1,-8.0,14.6,11.2,25.8,264.0
324 Fabricación de productos derivados del petróleo y del carbón,-0.2,C,C,C,5.9,5.2,-7.9,10.4,C,5.0,5.5,C,12.3,255.9
3241 Fabricación de productos derivados del petróleo y del carbón,-0.2,C,C,C,5.9,5.2,-7.9,10.4,C,5.0,5.5,C,12.3,255.9
325 Industria química,"1,555.9",379.4,82.9,-697.9,"1,320.4","1,206.4",-111.0,97.3,-98.2,"1,094.5","1,200.4",150.1,"1,350.5","37,196.2"
3251 Fabricación de productos químicos básicos,119.4,67.0,56.5,-611.0,-368.2,158.3,-47.1,62.5,73.3,247.0,-36.5,-56.7,-93.2,"6,937.6"
3252 Fabricación de resinas y hules sintéticos  y fibras químicas,4.8,22.3,17.9,3.3,48.3,2.7,-12.2,6.7,1.7,-1.1,26.2,6.8,33.0,743.8
3253 Fabricación de fertilizantes plaguicidas y otros agroquímicos,C,C,C,C,104.4,C,C,0.0,C,C,0.0,C,C,397.1
3254 Fabricación de productos farmacéuticos,854.1,237.1,85.5,-218.3,958.3,689.2,96.6,553.1,-62.1,"1,276.8",671.6,300.4,972.0,"14,213.9"
3255 Fabricación de pinturas  recubrimientos y adhesivos,301.8,-83.9,-77.9,-39.0,101.0,50.9,-6.8,-145.5,-105.1,-206.6,420.5,-101.3,319.2,"3,484.9"
3256 Fabricación de jabones limpiadores y preparaciones de tocador,165.3,64.6,-2.9,121.4,348.5,285.0,-148.4,-431.6,40.1,-254.9,60.0,-16.9,43.1,"9,395.0"
3259 Fabricación de otros productos químicos,117.7,39.0,-12.6,-16.0,128.1,11.9,1.5,52.0,-5.5,59.8,58.6,6.2,64.8,"2,023.8"
326 Industria del plástico y del hule,472.5,235.9,208.3,-196.9,719.8,508.3,106.8,-16.6,-119.5,478.9,492.6,113.7,606.3,"13,870.9"
3261 Fabricación de productos de plástico,274.5,104.7,73.5,-140.9,311.8,406.3,92.9,46.1,-16.4,528.9,268.2,346.0,614.2,"8,456.3"
